budget,runtime,year,vote_average,popularity,profitable,Horror,Drama,google_trend
-0.6663,0.095,1.203,-2.8244,-0.627,0,-0.4817,-0.7505,0.0896
-0.7848,-1.0211,1.203,-2.0409,-0.6355,0,-0.4817,-0.7505,0.7009
0.6679,-0.4873,1.203,-0.6991,1.2748,0,-0.4817,-0.7505,-0.0123
-0.3698,-1.0211,1.203,0.4372,1.1108,1,-0.4817,1.3293,-0.3179
0.3714,1.0169,1.203,0.4259,1.0038,1,-0.4817,-0.7505,0.3953
-0.6218,0.2406,1.203,0.7135,0.6787,1,2.0712,-0.7505,0.3953
-0.2438,-0.1476,1.203,0.0249,0.6254,1,2.0712,-0.7505,0.4971
-0.607,-0.9725,1.203,0.2289,0.2454,0,-0.4817,1.3293,-0.0123
0.0749,-0.4388,1.203,-0.1366,-0.0945,1,-0.4817,-0.7505,-0.0123
-0.3698,-0.4388,1.203,0.0093,-0.113,0,-0.4817,1.3293,-0.0123
-0.0733,-0.7299,1.203,-0.9074,-0.308,0,-0.4817,-0.7505,-0.0123
-0.7626,-0.6329,1.203,-1.4076,-0.4941,0,-0.4817,-0.7505,-0.0123
-0.7774,-0.1962,1.203,0.4344,-0.6875,0,2.0712,-0.7505,-0.0123
1.7056,0.8714,0.2905,1.9929,0.8427,1,-0.4817,1.3293,-0.1141
2.1503,0.6288,0.2905,0.7291,0.3459,1,-0.4817,-0.7505,-0.6235
-0.6366,-0.924,0.2905,-1.6938,-0.0558,1,2.0712,-0.7505,-0.6235
0.2232,-0.6814,0.2905,0.2884,-0.399,0,-0.4817,-0.7505,-0.4198
-0.7181,-0.6329,0.2905,-0.9202,-0.4466,1,2.0712,-0.7505,-0.4198
-0.4142,-0.2932,0.2905,-0.9811,-0.6183,0,2.0712,1.3293,-0.1141
-0.2512,-0.5358,0.2905,0.2488,-0.6356,0,-0.4817,-0.7505,-0.1141
-0.7404,-1.3122,0.2905,0.151,-0.7523,0,-0.4817,-0.7505,-0.4198
2.1503,1.0169,-0.622,1.7478,1.7567,1,-0.4817,-0.7505,-1.0311
-0.2364,-0.0991,-0.622,0.9374,0.2234,1,2.0712,-0.7505,-1.0311
0.0898,-0.827,-0.622,0.994,0.1644,1,2.0712,-0.7505,-1.0311
2.1503,1.4537,-0.622,0.4329,-0.1932,1,-0.4817,-0.7505,-1.0311
-0.518,-0.9725,-0.622,-1.1284,-0.2537,1,2.0712,-0.7505,-0.9292
0.5197,1.6963,-0.622,-0.787,-0.2794,1,2.0712,1.3293,-0.9292
-0.3698,-1.2152,-0.622,0.7177,-0.3665,0,-0.4817,-0.7505,-1.0311
-0.518,-0.6329,-0.622,-0.1848,-0.4461,1,-0.4817,-0.7505,-1.3367
-0.518,-0.0021,-0.622,0.3678,-0.6333,0,-0.4817,1.3293,-1.0311
2.1503,0.0465,-0.622,1.174,3.4842,1,-0.4817,-0.7505,-1.3367
-0.5625,-1.0211,-0.622,1.6699,0.171,1,-0.4817,-0.7505,-1.2348
0.6679,-0.2932,-0.622,1.5183,0.1464,1,-0.4817,-0.7505,-0.8273
-0.1474,-0.9725,-0.622,0.4641,0.0913,1,-0.4817,-0.7505,-1.3367
-0.5921,0.0465,-0.622,0.0433,-0.0608,0,-0.4817,1.3293,-0.8273
-0.6663,-0.6814,-0.622,-0.2741,-0.4505,1,2.0712,-0.7505,-0.9292
-0.518,-1.2152,-0.622,-3.8163,-0.5335,0,-0.4817,-0.7505,-1.3367
0.4455,-0.6814,-1.5345,0.7617,0.2556,1,-0.4817,-0.7505,0.3953
0.2973,-0.1962,-1.5345,0.1992,0.0701,1,-0.4817,-0.7505,-1.0311
0.8013,-0.6329,-1.5345,1.0932,0.0107,1,-0.4817,1.3293,-0.3179
-0.6663,0.5802,-1.5345,0.3423,-0.3117,1,-0.4817,-0.7505,0.3953
2.1503,-0.4873,-1.5345,1.2859,-0.3232,0,-0.4817,-0.7505,-0.9292
-0.5921,-0.8755,-1.5345,-0.4838,-0.3761,0,-0.4817,-0.7505,-0.9292
-0.7107,-0.1962,-1.5345,-1.3821,-0.4683,1,2.0712,-0.7505,0.3953
-0.5773,-0.3417,-1.5345,-0.4668,-0.5207,1,-0.4817,1.3293,0.3953
-0.7107,0.5317,-1.5345,0.4599,-0.5598,1,2.0712,-0.7505,-0.9292
-0.6663,-1.3122,-1.5345,-1.195,-0.6277,1,2.0712,-0.7505,-0.3179
-0.77,-1.0211,-1.5345,-0.2741,-0.7047,1,-0.4817,-0.7505,-0.3179
6.0045,3.8313,0.2905,1.1782,2.3052,1,-0.4817,-0.7505,-0.0123
0.5197,-0.4873,0.2905,2.0496,1.5929,1,-0.4817,-0.7505,-0.4198
0.3418,3.6858,0.2905,0.8778,0.82,0,-0.4817,1.3293,1.0066
-0.6366,-0.5358,0.2905,0.4542,0.0928,1,2.0712,-0.7505,1.6178
-0.77,0.192,0.2905,1.5197,0.0279,1,-0.4817,1.3293,-0.4198
-0.0733,0.6288,0.2905,1.3723,-0.2943,1,-0.4817,1.3293,1.6178
-0.5625,-0.9725,0.2905,0.0178,-0.5447,1,-0.4817,-0.7505,-0.0123
-0.7552,-1.1181,0.2905,-1.5025,-0.5967,0,-0.4817,1.3293,1.6178
-0.0733,1.5022,0.2905,0.3493,-0.5969,1,-0.4817,1.3293,1.0066
-0.6144,0.095,0.2905,-0.1678,-0.6515,0,-0.4817,1.3293,-0.4198
-0.3698,0.7258,-0.622,-0.6991,-0.399,0,-0.4817,1.3293,-0.9292
-0.4735,-0.2447,-0.622,0.0971,-0.4176,1,-0.4817,1.3293,-1.3367
-0.7404,-0.2447,-0.622,0.6016,-0.5359,1,-0.4817,1.3293,-0.9292
-0.5773,-0.2932,-0.622,-1.6909,-0.6411,0,-0.4817,1.3293,-1.3367
-0.7848,-1.0211,-0.622,-1.2659,-0.6464,0,-0.4817,1.3293,-1.2348
1.9279,3.1035,0.2905,1.2632,1.4003,1,-0.4817,-0.7505,-0.6235
1.7797,-0.6329,0.2905,0.8523,1.296,0,-0.4817,-0.7505,-0.216
-0.7997,-0.3417,0.2905,-0.097,1.2151,1,2.0712,-0.7505,-0.1141
0.2973,-0.3903,0.2905,-1.0534,1.0035,1,-0.4817,-0.7505,-0.0123
0.8161,0.4832,0.2905,1.028,0.7496,1,-0.4817,-0.7505,-0.0123
-0.4439,1.3081,0.2905,1.4205,0.5195,1,-0.4817,-0.7505,-0.3179
0.3714,-0.6329,0.2905,1.1074,-0.0633,1,-0.4817,-0.7505,-0.1141
0.2825,-0.0506,0.2905,-0.4158,-0.1454,1,-0.4817,-0.7505,-0.3179
-0.77,-1.4578,0.2905,-1.9743,-0.3517,0,2.0712,1.3293,-0.1141
-0.2215,1.114,0.2905,-0.182,-0.3576,1,-0.4817,-0.7505,-0.1141
-0.7441,-0.7784,0.2905,-1.4076,-0.5801,0,-0.4817,1.3293,-0.3179
1.6315,1.6478,0.2905,-0.1069,0.5874,1,-0.4817,-0.7505,0.0896
0.4455,-1.2637,0.2905,0.7758,0.2237,1,-0.4817,-0.7505,0.9047
0.4455,2.23,0.2905,1.0649,-0.0506,1,-0.4817,1.3293,0.9047
-0.5625,-0.4873,0.2905,1.1938,-0.1499,1,2.0712,1.3293,0.9047
2.1503,-0.3903,0.2905,0.2983,-0.3649,1,-0.4817,-0.7505,0.3953
-0.7404,-0.827,0.2905,-0.403,-0.4528,0,2.0712,-0.7505,0.0896
-0.8108,-1.4093,0.2905,0.2402,-0.6508,1,2.0712,-0.7505,0.3953
-0.7967,-1.1181,0.2905,-0.641,-0.7178,0,-0.4817,1.3293,0.3953
0.5197,2.7638,1.203,1.2845,1.5367,1,-0.4817,-0.7505,0.0896
0.2973,0.1435,1.203,0.4669,0.7883,1,-0.4817,1.3293,-0.0123
-0.2957,0.4832,1.203,0.389,0.2892,1,2.0712,-0.7505,0.1915
1.0385,0.8228,1.203,-0.3166,0.2171,1,-0.4817,-0.7505,0.8028
1.4239,1.0169,1.203,0.8353,0.1194,1,-0.4817,-0.7505,0.0896
-0.1474,-1.0211,1.203,-1.0675,-0.2164,1,-0.4817,-0.7505,-0.0123
-0.3698,-0.2932,1.203,0.6653,-0.594,0,-0.4817,1.3293,0.2934
-0.8108,-0.4388,1.203,1.5679,-0.6896,1,-0.4817,1.3293,0.2934
-0.0733,-0.5843,-0.622,0.0178,-0.0159,1,-0.4817,-0.7505,-1.3367
-0.1474,-0.924,-0.622,0.1283,-0.1857,0,-0.4817,-0.7505,-0.4198
1.0385,-0.1962,-0.622,-0.267,-0.2198,0,-0.4817,-0.7505,-1.1329
-0.7404,-1.2152,-0.622,-1.0633,-0.4257,0,2.0712,-0.7505,-1.3367
-0.4291,0.6288,-0.622,0.7857,-0.4637,0,-0.4817,1.3293,-1.3367
-0.7848,0.095,-0.622,0.8594,-0.5052,1,-0.4817,1.3293,-1.3367
-0.1919,-0.1476,-1.5345,-0.0743,-0.0018,0,-0.4817,-0.7505,-1.0311
-0.607,-1.1181,-1.5345,-0.2103,-0.159,0,2.0712,-0.7505,-1.0311
0.5197,-1.1181,-1.5345,0.7475,-0.2346,0,-0.4817,-0.7505,-1.0311
-0.6366,0.095,-1.5345,1.1428,-0.4277,1,-0.4817,1.3293,-1.0311
-0.4735,-0.2932,-1.5345,-0.2316,-0.6425,0,-0.4817,1.3293,-1.0311
-0.3105,0.3376,-1.5345,0.4896,-0.0914,1,-0.4817,1.3293,-1.3367
0.5197,-0.9725,-1.5345,0.4004,-0.3716,0,-0.4817,-0.7505,-0.9292
-0.3253,-1.1181,-1.5345,-0.4682,-0.3961,1,-0.4817,-0.7505,-1.2348
-0.7404,-1.1181,-1.5345,0.7177,-0.4354,0,-0.4817,-0.7505,-0.9292
-0.5548,-0.7784,-1.5345,0.4344,-0.5271,0,-0.4817,-0.7505,-1.1329
-0.5921,-1.0696,-1.5345,-2.2506,-0.5957,0,-0.4817,-0.7505,-0.7254
-0.2957,1.1625,-1.5345,0.2927,-0.5979,0,-0.4817,1.3293,-1.1329
-0.7478,-0.5843,-1.5345,-1.6909,-0.6318,0,-0.4817,-0.7505,-1.3367
1.3498,0.8714,0.2905,-0.6651,0.0256,0,-0.4817,-0.7505,-0.5217
0.9644,0.1435,0.2905,0.2927,-0.0029,1,-0.4817,-0.7505,-0.216
-0.518,-0.5843,0.2905,0.7617,-0.3099,1,-0.4817,1.3293,-0.0123
-0.1771,-0.4388,0.2905,-0.8465,-0.3178,0,-0.4817,1.3293,-0.216
0.5197,0.6773,0.2905,-0.5574,-0.3516,1,-0.4817,-0.7505,-0.216
-0.7404,-0.3417,0.2905,0.4457,-0.3603,0,-0.4817,1.3293,-0.3179
-0.6663,-0.827,0.2905,0.0093,-0.4839,1,-0.4817,-0.7505,-0.5217
-0.4735,-0.0506,0.2905,-0.1324,-0.537,1,-0.4817,-0.7505,-0.216
2.1503,-0.8755,-0.622,1.4743,0.3898,0,-0.4817,-0.7505,-0.8273
-0.5477,-0.4873,-0.622,0.2601,-0.2031,1,2.0712,-0.7505,-0.7254
0.2232,0.192,-0.622,-0.1437,-0.4446,1,-0.4817,-0.7505,-0.8273
-0.7848,-0.1962,-0.622,-0.1324,-0.5326,0,-0.4817,-0.7505,-0.8273
-0.7181,-0.7784,-0.622,-1.0661,-0.5616,0,2.0712,-0.7505,-0.6235
-0.7404,0.2891,-0.622,-0.9287,-0.5823,0,-0.4817,1.3293,-0.6235
0.0008,1.4537,-0.622,0.5888,-0.6373,0,-0.4817,1.3293,-0.216
2.2244,1.7933,-1.5345,0.5491,1.8988,1,-0.4817,-0.7505,-1.5405
0.0749,-0.8755,-1.5345,0.9869,-0.0842,0,-0.4817,-0.7505,-1.4386
-0.3698,-0.8755,-1.5345,-1.5493,-0.4017,0,-0.4817,1.3293,-1.4386
-0.5477,-0.7299,-1.5345,-0.5574,-0.4942,1,-0.4817,-0.7505,-1.2348
-0.4439,-1.0696,-1.5345,-1.2659,-0.5396,0,-0.4817,-0.7505,-1.2348
-0.7404,-0.5358,-1.5345,-1.2999,-0.6273,0,-0.4817,1.3293,-1.4386
-0.0733,-0.5358,-0.622,1.1499,0.7786,1,-0.4817,-0.7505,-0.5217
-0.3698,0.6773,-0.622,0.0731,-0.1321,1,-0.4817,-0.7505,0.1915
-0.518,-0.3903,-0.622,-0.4158,-0.3056,1,2.0712,-0.7505,-0.5217
-0.1771,0.1435,-0.622,0.7744,-0.3395,0,2.0712,-0.7505,-0.1141
-0.5625,-0.6814,-0.622,-0.77,-0.347,1,2.0712,1.3293,0.1915
0.6679,1.9389,-0.622,0.9232,-0.4281,0,-0.4817,1.3293,-0.5217
-0.4439,-0.2447,-0.622,0.3848,-0.4807,1,-0.4817,1.3293,-0.1141
-0.7404,-1.0696,-0.622,0.0093,-0.6523,0,-0.4817,1.3293,-0.7254
-0.6381,-0.6814,-0.622,0.9671,-0.6624,1,-0.4817,1.3293,-0.5217
-0.4884,-0.0021,-1.5345,1.2561,0.2934,1,-0.4817,-0.7505,1.8216
