budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Horror,Drama,company_freq,google_trend
100000000,181,2023,8.108,469.007,98.0,47.0,7,1,0,1,1,97
145000000,114,2023,7.08,310.842,96.0,38.0,7,1,0,0,1,97
291000000,164,2023,7.552,170.774,89.0,55.0,7,1,0,0,1,81
14500000,131,2023,8.033,110.257,74.0,56.0,7,1,0,1,0,81
75000000,100,2023,7.266,96.391,15.0,18.0,7,1,0,0,1,83
16000000,107,2023,6.7,67.364,81.0,38.0,7,1,1,0,1,81
157800000,123,2023,6.54,55.107,64.0,43.0,7,0,1,0,1,100
5000000,93,2023,6.674,23.633,23.0,29.0,7,0,0,0,0,82
200000000,125,2023,6.353,88.052,71.0,59.0,2,1,0,0,1,63
32500000,95,2023,6.097,68.724,56.0,38.0,2,1,0,0,1,63
20000000,100,2023,6.31,51.561,44.0,44.0,2,1,1,0,1,64
5000000,119,2023,7.196,40.116,33.0,42.0,2,0,0,1,0,63
20000000,109,2023,5.793,35.528,102.0,64.0,2,0,0,0,0,63
45000000,112,2023,6.701,30.693,65.0,54.0,2,1,0,1,1,59
28000000,98,2023,6.5,26.444,40.0,87.0,2,1,0,1,1,64
15000000,120,2023,6.7,22.277,28.0,43.0,2,1,0,1,1,63
24000000,114,2022,6.674,95.493,50.0,53.0,1,1,1,0,1,62
75000000,122,2022,6.1,53.0,85.0,46.0,1,0,0,0,1,66
30000000,134,2022,7.856,50.309,43.0,25.0,1,0,0,1,0,58
6000000,98,2022,5.8,38.516,7.0,37.0,1,0,1,0,0,66
8500000,89,2022,4.9,32.543,41.0,59.0,1,0,1,0,0,58
6500000,97,2022,6.2,27.707,72.0,48.0,1,0,0,0,0,62
40500000,94,2022,7.1,21.696,72.0,58.0,1,0,0,0,1,58
50000000,114,2023,6.5,69.606,178.0,52.0,1,0,0,0,1,69
25000000,107,2023,7.0,66.69,63.0,54.0,1,1,0,0,0,67
4500000,118,2023,6.1,48.081,50.0,37.0,1,1,1,0,0,64
7000000,111,2023,7.47,35.682,35.0,36.0,1,1,0,1,1,70
7500000,95,2023,5.545,30.187,75.0,75.0,1,0,0,1,0,64
2000000,92,2023,5.353,18.774,104.0,40.0,1,0,0,0,0,70
100000000,103,2023,6.3,176.194,178.0,47.0,9,0,0,0,1,63
30000000,92,2023,7.102,162.681,73.0,31.0,9,1,0,1,1,60
80000000,134,2023,7.094,153.867,42.0,29.0,9,1,0,0,0,67
13000000,118,2023,7.297,127.073,34.0,60.0,9,1,1,0,1,67
38500000,110,2023,6.811,122.684,33.0,26.0,9,1,1,0,1,68
14000000,93,2023,6.955,91.367,39.0,25.0,9,0,0,1,1,63
60000000,104,2023,6.697,63.36,78.0,55.0,9,1,0,0,1,63
30000000,104,2023,6.8,61.831,65.0,44.0,9,0,0,1,0,63
50000000,98,2023,6.153,45.766,45.0,15.0,9,0,0,0,0,63
3500000,100,2023,5.8,30.425,22.0,28.0,9,0,0,0,0,63
170000000,131,2022,8.2,140.587,90.0,50.0,5,1,0,1,1,62
200000000,126,2022,7.308,99.647,63.0,42.0,5,1,0,0,1,57
12000000,94,2022,5.598,66.55,49.0,70.0,5,1,1,0,1,57
70000000,99,2022,6.997,38.266,64.0,39.0,5,0,0,0,1,59
6500000,100,2022,6.144,34.343,50.0,37.0,5,1,1,0,0,59
27000000,107,2022,6.101,20.19,75.0,45.0,5,0,1,1,1,62
38000000,102,2022,6.969,18.763,31.0,48.0,5,0,0,0,1,62
