budget,runtime,year,vote_average,popularity,core_actor,actor_avg_age,month,profitable,Drama,Horror,company_freq,google_trend
-0.5137,-0.1515,1.193,1.2082,1.1709,0.2178,-1.299,0.8587,1,-0.7589,2.069,0.755,2.0116
-0.6169,0.9596,1.193,1.3197,0.4583,0.0755,-0.2135,0.8587,1,1.3145,-0.4822,-1.3213,2.0116
-0.3664,-0.1032,1.193,-1.1125,0.2885,-1.262,-1.9502,0.8587,1,-0.7589,2.069,0.755,1.0978
-0.5137,-0.1515,1.193,0.2263,-0.0139,-0.266,-0.3582,0.8587,1,1.3145,-0.4822,-1.3213,2.0116
-0.6611,0.6698,1.193,2.2663,-0.0619,-0.8351,-1.5161,0.8587,1,1.3145,-0.4822,-1.3213,1.4024
-0.5874,2.6988,1.193,2.2184,-0.142,-0.8351,-2.1673,0.8587,1,-0.7589,-0.4822,-1.3213,1.4024
1.7705,0.235,1.193,-0.2914,-0.3255,-0.1522,0.872,0.8587,0,-0.7589,-0.4822,-1.3213,2.0116
-0.6316,0.235,1.193,-1.207,-0.5691,-1.0343,-0.9371,0.8587,0,-0.7589,-0.4822,-1.3213,1.0978
-0.219,-0.3448,1.193,0.8894,-0.7007,-1.5181,0.3655,0.8587,0,1.3145,-0.4822,-1.3213,2.0116
1.7705,-0.8762,1.193,-0.4198,4.1111,-0.1237,0.1484,1.1429,1,-0.7589,-0.4822,0.755,0.6916
3.2412,-0.3931,1.193,-0.86,2.6165,-0.1522,-0.7924,1.1429,0,-0.7589,-0.4822,0.755,0.4885
0.6652,2.1191,1.193,0.5367,2.1125,-0.6075,-0.3582,1.1429,1,1.3145,-0.4822,0.755,0.6916
1.6231,2.1674,1.193,-0.4438,1.9969,-0.3229,0.076,1.1429,1,-0.7589,-0.4822,-1.3213,2.6209
-0.5874,-0.3448,1.193,-0.2731,0.4676,0.0186,1.0891,1.1429,1,-0.7589,2.069,-1.3213,0.6916
-0.6611,-0.538,1.193,-0.0431,0.2375,2.6082,-0.2858,1.1429,1,-0.7589,-0.4822,0.755,0.4885
-0.5137,0.1867,1.193,-0.046,-0.0046,0.0755,-1.1542,1.1429,0,1.3145,-0.4822,-1.3213,0.6916
-0.5137,0.863,1.193,0.3857,-0.012,0.1324,-0.5029,1.1429,1,1.3145,-0.4822,-1.3213,0.6916
-0.5727,0.1867,1.193,0.7145,-0.1463,-0.266,0.9444,1.1429,1,1.3145,-0.4822,-1.3213,0.4885
-0.6832,0.3799,1.193,1.2675,-0.1819,-1.6604,-2.9634,1.1429,1,1.3145,-0.4822,-1.3213,0.8947
-0.6021,-0.4414,1.193,-0.4777,-0.2811,-0.2375,0.2931,1.1429,1,1.3145,-0.4822,0.755,0.6916
0.3705,0.7664,1.193,-0.527,-0.3031,0.2747,0.2207,1.1429,0,1.3145,-0.4822,-1.3213,2.6209
-0.72,-0.6829,1.193,1.1913,-0.6399,0.2747,-0.2858,1.1429,1,1.3145,-0.4822,-1.3213,0.4885
-0.7642,-0.4414,1.193,-2.1071,-0.6525,-0.7498,0.0036,1.1429,1,-0.7589,-0.4822,-1.3213,1.4024
-0.7127,-0.0066,1.193,-1.5428,-0.6622,0.0186,-0.4306,1.1429,1,-0.7589,-0.4822,-1.3213,0.8947
2.8757,0.2833,0.283,-0.4523,0.9305,0.0755,0.2207,0.0061,1,-0.7589,-0.4822,0.755,0.9962
-0.6611,-0.6829,0.283,-0.1701,-0.2195,-0.3229,-0.2135,0.0061,0,-0.7589,2.069,-1.3213,0.2854
