id,budget,revenue,runtime,vote_average,vote_count,year,month,genres,overview
836202.0,4800000.0,369419.0,108.0,4.82,86.0,2022,5,['Drama'],"Alice and Louis are brother and sister. She is an actress; he was a teacher and poet. For more than 20 years, Alice has hated her brother. In all this time they haven’t seen one another. The death of their parents brings the siblings face to face."
365620.0,95000000.0,39220516.0,131.0,6.526,529.0,2023,12,"['History', 'Drama']","Set during the summer of 1957. Ex-racecar driver, Enzo Ferrari, is in crisis. Bankruptcy stalks the company he and his wife, Laura, built from nothing ten years earlier. Their tempestuous marriage struggles with the mourning for one son and the acknowledgement of another."
616747.0,157800000.0,117300000.0,123.0,6.5,919.0,2023,7,"['Fantasy', 'Comedy', 'Horror', 'Family']",A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.
925577.0,1000.0,1200.0,60.0,0.0,0.0,2021,10,[],"60 shorts. 60 minutes. FLOWER HOUR is a psychedelic parody of the online drinking game created by over 100 artists, musicians, and filmmakers, both local to New Mexico and international."
337404.0,200000000.0,233503234.0,134.0,8.027,8891.0,2021,5,"['Comedy', 'Crime']","In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella."
502356.0,100000000.0,1362000000.0,93.0,7.686,8201.0,2023,4,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
585245.0,64000000.0,107347356.0,97.0,7.195,1660.0,2021,11,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Animation']","As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love."
558915.0,95000000.0,66025125.0,141.0,6.997,159.0,2023,12,['Drama'],"A decades-spanning tale of love and resilience and of one woman's journey to independence. Celie faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood."
1011361.0,1.0,1.0,300.0,0.0,0.0,2022,8,[],"Gordon Ryan takes on Felipe Pena in one of the biggest jiu-jitsu matches of all time!  No time limit, the only path to victory is submission, watch one of the most heated rivalries in the sport get settled at Tezos WNO!  The event goes down on August 7th from the Sports Academy at the Star in Frisco, Texas!"
1178065.0,200000.0,2000.0,80.0,0.0,0.0,2023,7,[],"A tense drama unfolds as the Wards prepare to abandon their lives, escaping a dire financial situation but a last-minute change of heart leaves them fighting for survival."
