id,title,budget,release_date,revenue,runtime,vote_average,vote_count,popularity,genres,production_companies,overview,year,month
531876,The Outpost,18000000,2020-06-24,2133452,123,6.875,979,29.838,"['War', 'Drama', 'History', 'Action']","[1020, 105330, 137004]","A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",2020,6
429422,Capone,20600000,2020-06-26,858281,103,5.0,347,21.102,"['Crime', 'Drama']","[13240, 59, 104213, 53152, 2253, 100640, 167333]","The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",2020,6
985939,Fall,3000000,2022-08-11,16120263,107,7.204,3570,100.733,['Thriller'],"[155758, 125401, 154063, 1632]","For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",2022,8
718930,Bullet Train,90000000,2022-08-03,239300000,126,7.476,5547,88.467,"['Action', 'Comedy', 'Thriller']","[121470, 5]","Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",2022,8
744276,After Ever Happy,14000000,2022-08-24,19200000,95,6.818,1142,75.556,"['Romance', 'Drama']","[6626, 107108, 88606, 158529, 107107]","As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",2022,8
556694,Three Thousand Years of Longing,60000000,2022-08-24,20300000,108,6.888,1203,44.162,"['Drama', 'Fantasy', 'Romance']","[7493, 142069, 192426, 28382]","A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",2022,8
862965,Emily the Criminal,2000000,2022-08-12,2157673,97,6.738,726,40.579,"['Crime', 'Drama', 'Thriller']","[28286, 168717]","Desperate for income, Emily takes a shady gig buying goods with stolen credit cards supplied by a charismatic middleman named Youcef. Seduced by the quick cash and illicit thrills, they hatch a plan to take their business to the next level.",2022,8
830788,The Invitation,10000000,2022-08-24,33628000,105,6.173,708,32.88,"['Horror', 'Thriller', 'Drama']","[3287, 219856]","After the death of her mother, Evie is approached by an unknown cousin who invites her to a lavish wedding in the English countryside. Soon, she realizes a gothic conspiracy is afoot and must fight for survival as she uncovers twisted secrets in her family’s history.",2022,8
520023,Bodies Bodies Bodies,3000000,2022-08-05,13900000,94,6.314,932,26.081,"['Comedy', 'Horror', 'Mystery']","[41077, 158407]","In an isolated family mansion, a group of rich 20-somethings decides to play Bodies Bodies Bodies, a game where one of them is secretly a ""killer"" while the rest tries to ""escape"". Things take a turn for the worse when real bodies start turning up, setting off a paranoid and dangerous chain of events.",2022,8
824281,Easter Sunday,17000000,2022-08-04,13071438,96,6.0,38,16.457,['Comedy'],"[7, 7294, 118854]","A man returns home for an Easter celebration with his riotous, bickering, eating, drinking, laughing, loving family, in this love letter to the Filipino-American community.",2022,8
615656,Meg 2: The Trench,129000000,2023-08-02,384056482,116,6.583,3070,166.716,"['Action', 'Science Fiction', 'Horror']","[56242, 174, 435, 92484, 208094, 65442]",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,2023,8
926393,The Equalizer 3,70000000,2023-08-30,190000000,109,7.37,2542,140.424,"['Action', 'Thriller', 'Crime']","[5, 10400, 1423, 44967]","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",2023,8
980489,Gran Turismo,60000000,2023-08-09,121700000,135,7.858,2302,130.308,"['Adventure', 'Action', 'Drama']","[125281, 84792, 5]",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2023,8
565770,Blue Beetle,104000000,2023-08-16,130788072,128,6.805,2321,112.549,"['Action', 'Science Fiction', 'Adventure']","[174, 11565, 128064]","Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",2023,8
762430,Retribution,20000000,2023-08-23,16700000,91,6.752,1014,92.522,['Thriller'],"[99132, 23513, 106689, 356, 264]","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",2023,8
912908,Strays,46000000,2023-08-17,32000000,93,7.372,697,85.503,"['Comedy', 'Adventure']","[33, 77973, 123244, 162500]","When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",2023,8
635910,The Last Voyage of the Demeter,45000000,2023-08-09,21600000,119,6.946,1304,84.767,"['Thriller', 'Horror']","[11317, 7, 205662, 7294, 264, 206581]",The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,2023,8
814776,Bottoms,11300000,2023-08-25,12725395,91,6.725,487,43.36,['Comedy'],"[12365, 41]",Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,2023,8
1040892,Slotherhouse,350000,2023-08-30,123000,93,4.407,70,31.932,"['Horror', 'Comedy', 'Thriller']","[185040, 46089, 90745, 89748]","Emily Young, a senior, wants to be elected as her sorority's president. She adopts a cute sloth, thinking it can become the new mascot and help her win, until a string of fatalities implicate the sloth as the main suspect in the murders.",2023,8
1048522,Fremont,3000000,2023-08-25,281126,92,6.2,30,12.218,"['Comedy', 'Drama']","[48745, 117706, 191442]","Donya, a lonely Afghan refugee and former translator, spends her twenties drifting through a meager existence in Fremont, California. Shuttling between her job writing fortunes for a fortune cookie factory and sessions with her eccentric therapist, Donya suffers from insomnia and survivor's guilt over those still left behind in Kabul as she desperately searches for love.",2023,8
637649,Wrath of Man,40000000,2021-04-22,103966489,119,7.6,4983,158.674,"['Action', 'Crime', 'Thriller']","[14, 2900, 175813, 21]","A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021,4
